"local.rt.mean","local.rt.lower","local.rt.upper","date"
0.609796982056647,0.482500168925275,0.732374821877317,"05/02/2021"
0.588474640575164,0.476243075145875,0.70500035425114,"06/02/2021"
0.565834578385927,0.441656068354573,0.68084494537876,"07/02/2021"
0.553315125934553,0.447525773356974,0.683203003651119,"08/02/2021"
0.550395740165952,0.43698972854538,0.671926886850538,"09/02/2021"
0.540837567491125,0.421533917190498,0.651373539826773,"10/02/2021"
0.541909272395593,0.397756337116705,0.667099519855114,"11/02/2021"
0.546564181679289,0.409858936045519,0.685716666677679,"12/02/2021"
0.565237646818452,0.434666509815583,0.696077453193356,"13/02/2021"
0.593382909076862,0.449810642951294,0.751459628853225,"14/02/2021"
0.631836635681782,0.500926984061398,0.791648620973855,"15/02/2021"
0.746842180359178,0.548214941761611,0.875320398553181,"16/02/2021"
0.777806628513879,0.620891634505215,0.931349387242568,"17/02/2021"
0.889416701976172,0.687203800811092,1.03576216471538,"18/02/2021"
0.927542304523644,0.784270541974247,1.13030472690753,"19/02/2021"
1.0118018045943,0.807591275963783,1.18548142766089,"20/02/2021"
1.0189917937308,0.861117042496533,1.17909159013267,"21/02/2021"
1.04197614059079,0.895513834971285,1.16435007037068,"22/02/2021"
1.02398439762282,0.878108573559478,1.16738318097796,"23/02/2021"
0.976885415486362,0.859100676482356,1.09908750566592,"24/02/2021"
0.90666997404133,0.801622510056421,1.02567362849042,"25/02/2021"
0.854856672734297,0.730375549728605,0.974296648833597,"26/02/2021"
0.811276161799914,0.69054684899097,0.962276073804554,"27/02/2021"
0.785303318939251,0.69362407794662,0.913272799436818,"28/02/2021"
0.824791901314472,0.715509796699334,0.924405715426186,"01/03/2021"
0.8555998067294,0.723496614709867,0.978868269215782,"02/03/2021"
0.928202140178657,0.80944871557768,1.05493826987255,"03/03/2021"
1.02466439187378,0.868698131987118,1.24628716109152,"04/03/2021"
1.15943935406633,1.01596671127992,1.32152333279263,"05/03/2021"
1.30012617978236,1.14198712587767,1.45526606673175,"06/03/2021"
1.38075931869183,1.26318526245245,1.57065383781334,"07/03/2021"
1.43603193970449,1.2960316922301,1.6540827175054,"08/03/2021"
1.37367736978412,1.20982962784764,1.587497925985,"09/03/2021"
1.26278335319601,1.11457654677036,1.45663014502149,"10/03/2021"
1.12975913812976,0.989529463468055,1.33829561029441,"11/03/2021"
0.947572985714148,0.829954158687123,1.10402709510247,"12/03/2021"
0.781643505762476,0.677469148859245,0.889968050048301,"13/03/2021"
0.615421251965198,0.52599239985303,0.695666232685203,"14/03/2021"
0.497838614872176,0.408690628810516,0.577291212418604,"15/03/2021"
0.411805298485565,0.319513404063082,0.495762417663308,"16/03/2021"
0.360730578494115,0.274520051248276,0.441985050426955,"17/03/2021"
0.323335979512935,0.240320253490522,0.405811426189023,"18/03/2021"
0.300215089580424,0.204177814359845,0.38330556732507,"19/03/2021"
0.276727711775821,0.18547055012422,0.365694864734955,"20/03/2021"
0.262722316160444,0.168365265807272,0.37250945518353,"21/03/2021"
0.259731801694881,0.158225098448481,0.377989615162631,"22/03/2021"
0.258596372776123,0.159621440565792,0.379631647089306,"23/03/2021"
0.276428571551788,0.155606464432824,0.409205601365897,"24/03/2021"
0.304899203854736,0.172397881647169,0.472410788797227,"25/03/2021"
0.362422302921472,0.210467772363518,0.535872161685779,"26/03/2021"
0.435690468029074,0.243245796064837,0.630781431360162,"27/03/2021"
0.519186945504576,0.298441094452554,0.751073885966439,"28/03/2021"
0.612516673688089,0.327028899005803,0.85616379678113,"29/03/2021"
0.656740501299941,0.38528543426594,0.933828417103723,"30/03/2021"
0.696210016716224,0.441985229969458,0.976610273437013,"31/03/2021"
0.721357934751111,0.463698474370959,1.01594849159209,"01/04/2021"
0.737038698503547,0.438345395076894,1.01017377018689,"02/04/2021"
0.739817602209009,0.407307538507002,0.967915678420093,"03/04/2021"
0.710752965220747,0.433023431601762,0.968970276927446,"04/04/2021"
0.712389942387805,0.397307256936131,1.00922854079401,"05/04/2021"
0.730803360193143,0.39289107040377,0.970499758951353,"06/04/2021"
0.759951412737589,0.436092195932844,1.0668594570259,"07/04/2021"
0.807700562216805,0.468009596451804,1.13377638000801,"08/04/2021"
0.828892920193999,0.469542521938401,1.15780896377582,"09/04/2021"
0.858317161811081,0.478442643342549,1.21108345796582,"10/04/2021"
0.886727016137588,0.516463951641705,1.2890888364327,"11/04/2021"
0.907493912412261,0.552243558827667,1.29138982756556,"12/04/2021"
0.93778069861073,0.598558869524159,1.31872341781005,"13/04/2021"
0.93736134200475,0.582610546401326,1.29915087716841,"14/04/2021"
0.935193283033884,0.551137416597846,1.2622264875915,"15/04/2021"
0.913674243184456,0.562014380568674,1.26250856161252,"16/04/2021"
0.912423688915219,0.545759300257831,1.28200922343156,"17/04/2021"
0.886157185988454,0.563949416450292,1.31539707071308,"18/04/2021"
